# A280537 n=8 points=20 — второй класс конфигурации размера 20 при n=8 (a(8) ≥ 20, оптимальность не доказана): не эквивалентен certs/a280537_first_solver/n8_20pts_first_solver.txt (стабилизатор 1) под 48 движениями куба; стабилизатор 2 (полуоборот). Источник: CP-SAT страта c03 точной модели плоскостей коллеги (~/strata_p, 03.09.2026). Проверено второй сессией (втора): verify_witness.py — компланарных четвёрок 0; прямая жёсткость — ЖЁСТКО, min κ³ = 4, заменяемых 0.
0 1 2
0 3 1
0 6 3
1 4 0
1 5 5
1 7 6
2 1 2
2 6 0
2 6 2
3 0 5
3 1 0
3 2 7
4 7 7
5 2 1
5 4 7
5 7 3
6 0 1
7 0 4
7 3 5
7 5 3
