# A399138: a(7) >= 73 — 73 points in [0,6]^3, no three collinear; obtained from witness s14 (certs/no3_3d) by the single swap remove (1, 0, 1) -> add (5, 0, 5); inequivalent (48 cube symmetries) to all other listed 73s. Session saturation-73 (vtora), 2026-09-03.
# Verified: certs/no3_3d/verify_witness_lines.py 7 <file> 73 -> 62196 triples, 0 collinear. Format: x y z per line.
0 1 2
0 1 4
0 2 1
0 2 2
0 3 6
0 4 0
0 4 4
0 5 0
0 5 3
0 6 1
0 6 3
1 0 3
1 1 0
1 1 1
1 2 0
1 2 5
1 3 5
1 4 6
1 5 2
1 5 4
1 6 3
1 6 6
2 0 3
2 0 4
2 1 5
2 1 6
2 2 0
2 2 5
2 4 2
2 4 4
2 5 0
2 6 2
3 0 0
3 0 2
3 1 6
3 2 6
3 3 5
3 5 1
3 6 0
3 6 5
4 0 4
4 1 0
4 1 1
4 3 0
4 4 6
4 5 1
4 5 6
4 6 4
4 6 5
5 0 2
5 0 5
5 1 3
5 1 5
5 2 6
5 3 0
5 3 4
5 4 0
5 4 1
5 5 4
5 5 6
5 6 1
5 6 2
6 0 1
6 1 3
6 1 4
6 2 1
6 2 4
6 3 2
6 3 6
6 4 2
6 4 5
6 5 3
6 5 5
