# a(7) >= 71 for the 3D no-three-in-line problem
# randomised destroy-and-repair search (slack/t221/cube3_lb.c); journal: logs/no3_3d/lower_bound_lb_7.txt
# verified here by brute force over all triples with integer cross products: 0 collinear
0 2 4
3 0 0
4 6 1
5 4 2
5 2 1
6 0 5
1 5 1
4 1 5
4 6 3
0 2 0
5 0 3
0 4 3
1 4 0
1 3 6
6 1 3
0 3 0
6 3 6
5 6 0
6 6 2
5 4 5
6 6 6
2 4 0
2 4 1
4 2 6
3 5 3
5 5 4
2 3 0
1 6 5
0 3 1
4 1 6
4 0 3
2 0 6
1 6 3
1 0 2
6 2 5
2 5 5
6 4 1
5 0 2
3 4 6
3 6 4
1 5 3
1 0 4
4 3 1
1 1 0
5 1 6
6 5 1
3 0 1
0 1 5
3 1 0
0 1 4
1 1 1
5 6 4
6 3 4
3 1 1
0 4 5
4 2 0
5 1 3
2 3 5
2 0 4
3 6 5
1 2 6
2 6 2
4 0 0
0 5 2
5 5 0
6 4 4
6 1 2
2 5 6
1 3 4
0 0 1
3 5 6
