# Второй счёт a-файла docs/oeis/a399138.txt — втора (сессия saturation-73), 2026-09-03; код независим от сборщика файла:
# разбор блоков «n = N, M points» и кортежей (x,y,z); коллинеарность — целочисленные векторные произведения по всем C(M,3) тройкам;
# класс эквивалентности — каноническая форма под 48 движениями куба (cube_strata.act) против certs/no3_3d и witnesses/.
n=1: заявлено 1, разобрано 1, все в [0,0]^3: True, дубликатов: False, троек проверено 0, коллинеарных 0
n=2: заявлено 8, разобрано 8, все в [0,1]^3: True, дубликатов: False, троек проверено 56, коллинеарных 0
n=3: заявлено 16, разобрано 16, все в [0,2]^3: True, дубликатов: False, троек проверено 560, коллинеарных 0
n=4: заявлено 28, разобрано 28, все в [0,3]^3: True, дубликатов: False, троек проверено 3276, коллинеарных 0
n=5: заявлено 40, разобрано 40, все в [0,4]^3: True, дубликатов: False, троек проверено 9880, коллинеарных 0
n=6: заявлено 64, разобрано 64, все в [0,5]^3: True, дубликатов: False, троек проверено 41664, коллинеарных 0
n=7: заявлено 73, разобрано 73, все в [0,6]^3: True, дубликатов: False, троек проверено 62196, коллинеарных 0; класс: эквивалентен witnesses/A399138_no3collinear_cube.txt (класс #14 из classes_n7.txt)
n=8: заявлено 94, разобрано 94, все в [0,7]^3: True, дубликатов: False, троек проверено 134044, коллинеарных 0; класс: эквивалентен certs/no3_3d/n8_94_c08_ord4_strata.txt
n=9: заявлено 116, разобрано 116, все в [0,8]^3: True, дубликатов: False, троек проверено 253460, коллинеарных 0; класс: эквивалентен certs/no3_3d/n9_116_c26_ord12_strata.txt
n=10: заявлено 138, разобрано 138, все в [0,9]^3: True, дубликатов: False, троек проверено 428536, коллинеарных 0; класс: эквивалентен certs/no3_3d/n10_138_c16_ord6_strata.txt
n=11: заявлено 164, разобрано 164, все в [0,10]^3: True, дубликатов: False, троек проверено 721764, коллинеарных 0; класс: эквивалентен certs/no3_3d/n11_164_c26_ord12_strata.txt
# Итог: все 11 блоков чисты; блоки n = 7…11 совпадают по классу с сертифицированными свидетелями (свободный 73; c08 94; c26 116; c16 138; c26 164). Расхождений с черновиком правки нет.
