# A399138 n=10 stratum c29_ord24 (|H|=24 rot=12 inv=y) points=104 status=OPTIMAL bound=104 verified=True
0 2 4
0 2 5
0 3 2
0 3 7
0 4 1
0 4 8
0 5 1
0 5 8
0 6 2
0 6 7
0 7 4
0 7 5
1 0 4
1 0 5
1 1 1
1 1 8
1 4 2
1 4 7
1 5 2
1 5 7
1 8 1
1 8 8
1 9 4
1 9 5
2 0 3
2 0 6
2 1 4
2 1 5
2 4 0
2 4 9
2 5 0
2 5 9
2 8 4
2 8 5
2 9 3
2 9 6
3 2 0
3 2 9
3 7 0
3 7 9
4 0 2
4 0 7
4 1 0
4 1 9
4 2 1
4 2 8
4 7 1
4 7 8
4 8 0
4 8 9
4 9 2
4 9 7
5 0 2
5 0 7
5 1 0
5 1 9
5 2 1
5 2 8
5 7 1
5 7 8
5 8 0
5 8 9
5 9 2
5 9 7
6 2 0
6 2 9
6 7 0
6 7 9
7 0 3
7 0 6
7 1 4
7 1 5
7 4 0
7 4 9
7 5 0
7 5 9
7 8 4
7 8 5
7 9 3
7 9 6
8 0 4
8 0 5
8 1 1
8 1 8
8 4 2
8 4 7
8 5 2
8 5 7
8 8 1
8 8 8
8 9 4
8 9 5
9 2 4
9 2 5
9 3 2
9 3 7
9 4 1
9 4 8
9 5 1
9 5 8
9 6 2
9 6 7
9 7 4
9 7 5
