# A399138 n=11 stratum c04_ord2 (|H|=2 rot=1 inv=n) points=153 status=FEASIBLE bound=241 verified=True
0 1 2
0 1 8
0 2 7
0 2 9
0 3 3
0 4 6
0 4 9
0 5 1
0 5 7
0 6 2
0 6 4
0 7 6
0 7 8
0 9 3
0 10 4
1 0 2
1 0 8
1 1 10
1 2 4
1 2 6
1 3 1
1 3 3
1 4 3
1 5 6
1 5 10
1 6 1
1 8 2
1 8 9
1 9 7
1 9 9
1 10 7
2 0 7
2 0 9
2 1 4
2 1 6
2 3 8
2 4 1
2 5 7
2 5 9
2 6 2
2 6 10
2 8 0
2 8 2
2 9 1
2 9 3
2 10 3
3 0 3
3 1 1
3 1 3
3 2 8
3 4 0
3 5 0
3 7 8
3 8 5
3 9 9
3 9 10
3 10 1
3 10 7
4 0 6
4 0 9
4 1 3
4 2 1
4 3 0
4 4 8
4 6 10
4 7 10
4 8 0
4 8 1
4 9 4
4 10 4
4 10 9
5 0 1
5 0 7
5 1 6
5 1 10
5 2 7
5 2 9
5 3 0
5 8 9
5 8 10
5 9 0
5 9 8
5 10 2
5 10 8
6 0 2
6 0 4
6 1 1
6 2 2
6 2 10
6 4 10
6 7 0
6 9 0
6 10 9
7 0 6
7 0 8
7 3 8
7 4 10
7 6 0
7 7 1
7 7 7
7 8 7
7 8 10
7 9 2
7 9 4
7 10 2
7 10 5
8 1 2
8 1 9
8 2 0
8 2 2
8 3 5
8 4 0
8 4 1
8 5 9
8 5 10
8 7 7
8 7 10
8 8 5
8 9 1
8 9 7
8 10 3
9 0 3
9 1 7
9 1 9
9 2 1
9 2 3
9 3 9
9 3 10
9 4 4
9 5 0
9 5 8
9 6 0
9 7 2
9 7 4
9 8 1
9 8 7
9 9 2
9 9 5
9 10 6
10 0 4
10 1 7
10 2 3
10 3 1
10 3 7
10 4 4
10 4 9
10 5 2
10 5 8
10 6 9
10 7 2
10 7 5
10 8 3
10 9 6
