# A399138 n=11 stratum c31_ord24 (|H|=24 rot=12 inv=n) points=152 status=OPTIMAL bound=152 verified=True
0 1 2
0 1 6
0 2 1
0 2 8
0 3 3
0 3 6
0 4 7
0 4 9
0 6 1
0 6 3
0 7 4
0 7 7
0 8 2
0 8 9
0 9 4
0 9 8
1 0 2
1 0 6
1 1 2
1 1 9
1 2 0
1 2 1
1 3 6
1 4 7
1 4 10
1 6 0
1 6 3
1 7 4
1 8 9
1 8 10
1 9 1
1 9 8
1 10 4
1 10 8
2 0 1
2 0 8
2 1 0
2 1 1
2 2 4
2 2 10
2 4 2
2 6 8
2 8 0
2 8 6
2 9 9
2 9 10
2 10 2
2 10 9
3 0 3
3 0 6
3 1 6
3 3 0
3 3 7
3 4 9
3 4 10
3 6 0
3 6 1
3 7 3
3 7 10
3 9 4
3 10 4
3 10 7
4 0 7
4 0 9
4 1 7
4 1 10
4 2 2
4 3 9
4 3 10
4 7 0
4 7 1
4 8 8
4 9 0
4 9 3
4 10 1
4 10 3
6 0 1
6 0 3
6 1 0
6 1 3
6 2 8
6 3 0
6 3 1
6 7 9
6 7 10
6 8 2
6 9 7
6 9 10
6 10 7
6 10 9
7 0 4
7 0 7
7 1 4
7 3 3
7 3 10
7 4 0
7 4 1
7 6 9
7 6 10
7 7 0
7 7 7
7 9 6
7 10 3
7 10 6
8 0 2
8 0 9
8 1 9
8 1 10
8 2 0
8 2 6
8 4 8
8 6 2
8 8 4
8 8 10
8 9 0
8 9 1
8 10 1
8 10 8
9 0 4
9 0 8
9 1 1
9 1 8
9 2 9
9 2 10
9 3 4
9 4 0
9 4 3
9 6 7
9 6 10
9 7 6
9 8 0
9 8 1
9 9 2
9 9 9
9 10 2
9 10 6
10 1 4
10 1 8
10 2 2
10 2 9
10 3 4
10 3 7
10 4 1
10 4 3
10 6 7
10 6 9
10 7 3
10 7 6
10 8 1
10 8 8
10 9 2
10 9 6
