n=20 λ=0.125 выборок 6477 принято 0.098 ⟨E⟩≈1972; κ = 0.5030; прямоугольников 0.334
  m   модель  решения  разница
  1    0.639    0.577   +0.062
  2    0.760    0.748   +0.012
  3    0.948    0.917   +0.031
  4    1.041    1.035   +0.007
  5    1.081    1.107   -0.026
  6    1.060    1.107   -0.047
  7    1.078    1.121   -0.043
  8    1.031    1.084   -0.053
  9    1.024    1.076   -0.052
 10    1.034    1.045   -0.011
 11    1.084    1.078   +0.007
 12    1.103    1.040   +0.062
взвешенный RMS по уровням m=1..12: 0.037
