  Δ   C(Δ)   C−C̄  ρ_col  log ρ
  1   2.76   0.76   1.07   0.07
  2   3.62   1.63   1.35   0.30
  3   3.22   1.22   1.36   0.31
  4   3.49   1.49   1.30   0.26
  5   2.29   0.29   0.96  -0.04
  6   3.55   1.55   1.22   0.20
  7   1.59  -0.41   0.59  -0.53
  8   2.60   0.61   0.83  -0.19
  9   1.91  -0.09   0.66  -0.42
 10   2.18   0.18   0.88  -0.13
 11   0.71  -1.29   0.44  -0.82
 12   2.70   0.70   1.18   0.17
 13   0.58  -1.42   0.43  -0.84
 14   1.48  -0.51   0.71  -0.34
 15   1.60  -0.40   1.26   0.23
 16   1.49  -0.50   0.91  -0.09
 17   0.27  -1.73   0.69  -0.37
 18   1.81  -0.19   1.30   0.26
 19   0.09  -1.90   1.02   0.02
корреляция Пирсона log ρ ~ C(Δ): 0.664; Спирмен: 0.678
