n=20, 60000 выборок нуля, E[T] = 63.649; k — расстояние между двумя точками столбца
  k P_null(k)   ΔE(k)   ±SE  ρ_pred  ρ_obs
  1    0.0996  -0.040 0.011   1.034  1.069
  2    0.0954  -0.189 0.012   1.200  1.350
  3    0.0894  -0.096 0.012   1.093  1.363
  4    0.0837   0.006 0.013   0.987  1.298
  5    0.0796   0.054 0.013   0.941  0.959
  6    0.0739  -0.169 0.013   1.176  1.220
  7    0.0684   0.128 0.014   0.874  0.588
  8    0.0630   0.039 0.014   0.956  0.831
  9    0.0578   0.126 0.015   0.876  0.664
 10    0.0523  -0.018 0.016   1.011  0.876
 11    0.0469   0.207 0.017   0.807  0.440
 12    0.0418   0.077 0.018   0.920  1.178
 13    0.0370   0.128 0.019   0.874  0.428
 14    0.0316   0.021 0.020   0.972  0.710
 15    0.0268  -0.103 0.022   1.101  1.263
 16    0.0212  -0.004 0.025   0.998  0.906
 17    0.0156   0.322 0.029   0.720  0.694
 18    0.0106  -0.121 0.036   1.121  1.304
 19    0.0053   0.285 0.051   0.747  1.024
Спирмен(log ρ_pred, log ρ_obs) = 0.761;  ρ_pred(7)/ρ_pred(6) = 0.743 (наблюдаемое 0.482)
python3 rho_k_mech.py 20 60000 6  24.99s user 0.05s system 99% cpu 25.045 total
