n=20, 60000 выборок нуля, E[T] = 63.677; k — расстояние между двумя точками столбца
  k P_null(k)   ΔE(k)   ±SE  ρ_pred  ρ_obs
  1    0.1002   0.014 0.012   0.982  1.069
  2    0.0949  -0.119 0.012   1.122  1.350
  3    0.0887   0.000 0.012   0.995  1.363
  4    0.0840  -0.143 0.013   1.148  1.298
  5    0.0795   0.105 0.013   0.896  0.959
  6    0.0740  -0.129 0.013   1.133  1.220
  7    0.0683   0.105 0.014   0.896  0.588
  8    0.0632  -0.044 0.014   1.040  0.831
  9    0.0582   0.099 0.015   0.902  0.664
 10    0.0523   0.030 0.016   0.966  0.876
 11    0.0474   0.122 0.017   0.881  0.440
 12    0.0422  -0.124 0.018   1.127  1.178
 13    0.0367   0.070 0.019   0.928  0.428
 14    0.0319   0.096 0.021   0.904  0.710
 15    0.0262   0.085 0.023   0.914  1.263
 16    0.0209   0.120 0.025   0.883  0.906
 17    0.0160   0.005 0.029   0.990  0.694
 18    0.0104   0.071 0.036   0.927  1.304
 19    0.0052  -0.059 0.049   1.056  1.024
Спирмен(log ρ_pred, log ρ_obs) = 0.565;  ρ_pred(7)/ρ_pred(6) = 0.791 (наблюдаемое 0.482)
