A399138_no3collinear_cube.txt n=1 m=1        n=1 m=  1  min κ=None  НЕЖЁСТКО  нежёстких точек 0/1  оживает: {1: 1}  κ-гистограмма пустых: 
A399138_no3collinear_cube.txt n=2 m=8        n=2 m=  8  min κ=None  НЕЖЁСТКО  нежёстких точек 0/8  оживает: {1: 8}  κ-гистограмма пустых: 
A399138_no3collinear_cube.txt n=3 m=16       n=3 m= 16  min κ=3  ЖЁСТКО  нежёстких точек 0/16  оживает: {1: 16}  κ-гистограмма пустых: 3:10 6:1
A399138_no3collinear_cube.txt n=4 m=28       n=4 m= 28  min κ=3  ЖЁСТКО  нежёстких точек 0/28  оживает: {1: 28}  κ-гистограмма пустых: 3:16 4:16 6:4
A399138_no3collinear_cube.txt n=5 m=40       n=5 m= 40  min κ=3  ЖЁСТКО  нежёстких точек 0/40  оживает: {1: 40}  κ-гистограмма пустых: 3:24 4:42 6:12 8:6 12:1
A399138_no3collinear_cube.txt n=6 m=64       n=6 m= 64  min κ=3  ЖЁСТКО  нежёстких точек 0/64  оживает: {1: 64}  κ-гистограмма пустых: 3:4 4:12 5:12 6:20 7:36 8:24 9:28 11:12
A399138_no3collinear_cube.txt n=7 m=73       n=7 m= 73  min κ=2  ЖЁСТКО  нежёстких точек 0/73  оживает: {1: 73}  κ-гистограмма пустых: 2:3 3:21 4:54 5:54 6:56 7:36 8:24 9:11
A399138_no3collinear_cube.txt n=8 m=93       n=8 m= 93  min κ=2  ЖЁСТКО  нежёстких точек 0/93  оживает: {1: 93}  κ-гистограмма пустых: 2:12 3:30 4:78 5:96 6:69 7:60 8:36 9:19
n4_28pt_optima_all14.txt#1                   n=4 m= 28  min κ=3  ЖЁСТКО  нежёстких точек 0/28  оживает: {1: 28}  κ-гистограмма пустых: 3:16 4:16 6:4
n4_28pt_optima_all14.txt#2                   n=4 m= 28  min κ=3  ЖЁСТКО  нежёстких точек 0/28  оживает: {1: 28}  κ-гистограмма пустых: 3:16 4:16 6:4
n4_28pt_optima_all14.txt#3                   n=4 m= 28  min κ=3  ЖЁСТКО  нежёстких точек 0/28  оживает: {1: 28}  κ-гистограмма пустых: 3:20 4:8 5:4 6:4
n4_28pt_optima_all14.txt#4                   n=4 m= 28  min κ=3  ЖЁСТКО  нежёстких точек 0/28  оживает: {1: 28}  κ-гистограмма пустых: 3:16 4:16 6:4
n4_28pt_optima_all14.txt#5                   n=4 m= 28  min κ=3  ЖЁСТКО  нежёстких точек 0/28  оживает: {1: 28}  κ-гистограмма пустых: 3:20 4:8 5:4 6:4
