# A399138 n=10 stratum c08_ord4 (|H|=4 rot=2 inv=y) points=130 status=FEASIBLE bound=200 verified=True
0 1 2
0 2 1
0 2 7
0 3 6
0 3 7
0 4 2
0 5 1
0 6 8
0 7 3
0 7 4
0 8 3
0 8 6
0 9 4
1 0 4
1 1 3
1 2 0
1 2 8
1 3 2
1 3 9
1 4 3
1 4 6
1 5 0
1 6 1
1 6 2
1 7 7
1 7 8
1 9 5
1 9 7
2 0 8
2 1 0
2 1 5
2 2 8
2 3 1
2 3 6
2 4 0
2 4 6
2 6 1
2 6 9
2 7 5
2 7 9
2 8 3
2 9 3
3 0 5
3 0 6
3 1 1
3 1 9
3 4 1
3 5 7
3 5 8
3 6 7
3 6 9
3 7 0
3 8 0
3 8 2
3 9 2
3 9 6
4 0 1
4 0 8
4 1 5
4 2 7
4 7 0
4 8 5
4 8 7
4 9 0
4 9 6
5 0 3
5 0 9
5 1 2
5 1 4
5 2 9
5 7 2
5 8 4
5 9 1
5 9 8
6 0 3
6 0 7
6 1 7
6 1 9
6 2 9
6 3 0
6 3 2
6 4 1
6 4 2
6 5 8
6 8 0
6 8 8
6 9 3
6 9 4
7 0 6
7 1 6
7 2 0
7 2 4
7 3 0
7 3 8
7 5 3
7 5 9
7 6 3
7 6 8
7 7 1
7 8 4
7 8 9
7 9 1
8 0 2
8 0 4
8 2 1
8 2 2
8 3 7
8 3 8
8 4 9
8 5 3
8 5 6
8 6 0
8 6 7
8 7 1
8 7 9
8 8 6
8 9 5
9 0 5
9 1 3
9 1 6
9 2 5
9 2 6
9 3 1
9 4 8
9 5 7
9 6 2
9 6 3
9 7 2
9 7 8
9 8 7
