# A399138 n=8 stratum c30_ord24 (|H|=24 rot=24 inv=n) points=80 status=OPTIMAL bound=80 verified=True
0 1 2
0 1 4
0 2 3
0 2 6
0 3 1
0 3 5
0 4 2
0 4 6
0 5 1
0 5 4
0 6 3
0 6 5
1 0 3
1 0 5
1 1 1
1 1 6
1 2 0
1 3 7
1 4 0
1 5 7
1 6 1
1 6 6
1 7 2
1 7 4
2 0 1
2 0 4
2 1 7
2 3 0
2 4 7
2 6 0
2 7 3
2 7 6
3 0 2
3 0 6
3 1 0
3 2 7
3 5 0
3 6 7
3 7 1
3 7 5
4 0 1
4 0 5
4 1 7
4 2 0
4 5 7
4 6 0
4 7 2
4 7 6
5 0 3
5 0 6
5 1 0
5 3 7
5 4 0
5 6 7
5 7 1
5 7 4
6 0 2
6 0 4
6 1 1
6 1 6
6 2 7
6 3 0
6 4 7
6 5 0
6 6 1
6 6 6
6 7 3
6 7 5
7 1 3
7 1 5
7 2 1
7 2 4
7 3 2
7 3 6
7 4 1
7 4 5
7 5 3
7 5 6
7 6 2
7 6 4
