c00 |H|= 1 прогонов  40 | симм 12–16 (13.5) | итог 12–16 (13.5) | жёстких 1/40 = 0.03 | чисто-симм 40, из них жёстких 1
c01 |H|= 2 прогонов  40 | симм 3–3 (3.0) | итог 3–3 (3.0) | жёстких 0/40 = 0.00 | чисто-симм 40, из них жёстких 0
c02 |H|= 2 прогонов  40 | симм 3–13 (11.2) | итог 3–14 (12.6) | жёстких 0/40 = 0.00 | чисто-симм 7, из них жёстких 0
c03 |H|= 2 прогонов  40 | симм 11–15 (13.0) | итог 11–16 (13.5) | жёстких 0/40 = 0.00 | чисто-симм 24, из них жёстких 0
c04 |H|= 2 прогонов  40 | симм 5–5 (5.0) | итог 12–14 (13.1) | жёстких 0/40 = 0.00 | чисто-симм 0, из них жёстких 0
c05 |H|= 2 прогонов  40 | симм 3–5 (5.0) | итог 3–15 (12.7) | жёстких 0/40 = 0.00 | чисто-симм 1, из них жёстких 0
c06 |H|= 3 прогонов  40 | симм 3–16 (12.8) | итог 3–16 (13.1) | жёстких 0/40 = 0.00 | чисто-симм 32, из них жёстких 0
c07 |H|= 4 прогонов  40 | симм 3–3 (3.0) | итог 3–3 (3.0) | жёстких 0/40 = 0.00 | чисто-симм 40, из них жёстких 0
c08 |H|= 4 прогонов  40 | симм 3–3 (3.0) | итог 3–3 (3.0) | жёстких 0/40 = 0.00 | чисто-симм 40, из них жёстких 0
c09 |H|= 4 прогонов  40 | симм 3–12 (8.1) | итог 3–15 (11.5) | жёстких 0/40 = 0.00 | чисто-симм 6, из них жёстких 0
c10 |H|= 4 прогонов  40 | симм 3–13 (10.5) | итог 3–16 (11.7) | жёстких 0/40 = 0.00 | чисто-симм 18, из них жёстких 0
c11 |H|= 4 прогонов  40 | симм 3–5 (4.8) | итог 3–15 (12.0) | жёстких 0/40 = 0.00 | чисто-симм 3, из них жёстких 0
c12 |H|= 4 прогонов  40 | симм 3–5 (5.0) | итог 3–15 (12.6) | жёстких 0/40 = 0.00 | чисто-симм 1, из них жёстких 0
c13 |H|= 4 прогонов  40 | симм 3–5 (5.0) | итог 3–15 (12.7) | жёстких 0/40 = 0.00 | чисто-симм 1, из них жёстких 0
c14 |H|= 4 прогонов  40 | симм 3–13 (11.2) | итог 3–16 (12.5) | жёстких 0/40 = 0.00 | чисто-симм 16, из них жёстких 0
c15 |H|= 4 прогонов  40 | симм 3–3 (3.0) | итог 3–3 (3.0) | жёстких 0/40 = 0.00 | чисто-симм 40, из них жёстких 0
c16 |H|= 6 прогонов  40 | симм 3–3 (3.0) | итог 3–3 (3.0) | жёстких 0/40 = 0.00 | чисто-симм 40, из них жёстких 0
c17 |H|= 6 прогонов  40 | симм 7–13 (11.2) | итог 11–15 (12.7) | жёстких 0/40 = 0.00 | чисто-симм 15, из них жёстких 0
c18 |H|= 6 прогонов  40 | симм 5–5 (5.0) | итог 9–14 (12.1) | жёстких 0/40 = 0.00 | чисто-симм 0, из них жёстких 0
c19 |H|= 8 прогонов  40 | симм 3–3 (3.0) | итог 3–3 (3.0) | жёстких 0/40 = 0.00 | чисто-симм 40, из них жёстких 0
c20 |H|= 8 прогонов  40 | симм 3–3 (3.0) | итог 3–3 (3.0) | жёстких 0/40 = 0.00 | чисто-симм 40, из них жёстких 0
c21 |H|= 8 прогонов  40 | симм 3–3 (3.0) | итог 3–3 (3.0) | жёстких 0/40 = 0.00 | чисто-симм 40, из них жёстких 0
c22 |H|= 8 прогонов  40 | симм 3–5 (4.5) | итог 3–15 (10.3) | жёстких 0/40 = 0.00 | чисто-симм 9, из них жёстких 0
c23 |H|= 8 прогонов  40 | симм 3–3 (3.0) | итог 3–3 (3.0) | жёстких 0/40 = 0.00 | чисто-симм 40, из них жёстких 0
c24 |H|= 8 прогонов  40 | симм 3–5 (4.7) | итог 3–14 (10.8) | жёстких 0/40 = 0.00 | чисто-симм 7, из них жёстких 0
c25 |H|= 8 прогонов  40 | симм 3–3 (3.0) | итог 3–3 (3.0) | жёстких 0/40 = 0.00 | чисто-симм 40, из них жёстких 0
