# n=7, runs=40 на класс, seed=1; класс |H| прогонов | размер симм. стадии (мин–макс, среднее) | итог (мин–макс, среднее) | доля жёстких | жёстких среди чисто-симметричных (без достройки)
c16 |H|= 6 прогонов  40 | симм 3–3 (3.0) | итог 3–3 (3.0) | жёстких 0/40 = 0.00 | чисто-симм 40, из них жёстких 0
c17 |H|= 6 прогонов  40 | симм 7–13 (11.2) | итог 11–15 (12.7) | жёстких 0/40 = 0.00 | чисто-симм 15, из них жёстких 0
c18 |H|= 6 прогонов  40 | симм 5–5 (5.0) | итог 9–14 (12.1) | жёстких 0/40 = 0.00 | чисто-симм 0, из них жёстких 0
c19 |H|= 8 прогонов  40 | симм 3–3 (3.0) | итог 3–3 (3.0) | жёстких 0/40 = 0.00 | чисто-симм 40, из них жёстких 0
c20 |H|= 8 прогонов  40 | симм 3–3 (3.0) | итог 3–3 (3.0) | жёстких 0/40 = 0.00 | чисто-симм 40, из них жёстких 0
c21 |H|= 8 прогонов  40 | симм 3–3 (3.0) | итог 3–3 (3.0) | жёстких 0/40 = 0.00 | чисто-симм 40, из них жёстких 0
c22 |H|= 8 прогонов  40 | симм 3–5 (4.5) | итог 3–15 (10.3) | жёстких 0/40 = 0.00 | чисто-симм 9, из них жёстких 0
c23 |H|= 8 прогонов  40 | симм 3–3 (3.0) | итог 3–3 (3.0) | жёстких 0/40 = 0.00 | чисто-симм 40, из них жёстких 0
c24 |H|= 8 прогонов  40 | симм 3–5 (4.7) | итог 3–14 (10.8) | жёстких 0/40 = 0.00 | чисто-симм 7, из них жёстких 0
c25 |H|= 8 прогонов  40 | симм 3–3 (3.0) | итог 3–3 (3.0) | жёстких 0/40 = 0.00 | чисто-симм 40, из них жёстких 0
