n7_c01_ord2_72.txt 2026-09-02T15:42:51Z n=7: точек 72, проверено троек 59640, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/72
n7_c02_ord2_72.txt 2026-09-02T15:42:52Z n=7: точек 72, проверено троек 59640, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/72
n7_c03_ord2_73.txt 2026-09-02T15:42:52Z n=7: точек 73, проверено троек 62196, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/73
n7_c04_ord2_73.txt 2026-09-02T15:42:52Z n=7: точек 73, проверено троек 62196, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/73
n7_c05_ord2_70.txt 2026-09-02T15:42:52Z n=7: точек 70, проверено троек 54740, коллинеарных 0  — свидетель ЧИСТ | min κ=1, заменяемых 4/70
n7_c06_ord3_73.txt 2026-09-02T15:42:52Z n=7: точек 73, проверено троек 62196, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/73
n7_c07_ord4_72.txt 2026-09-02T15:42:52Z n=7: точек 72, проверено троек 59640, коллинеарных 0  — свидетель ЧИСТ | min κ=3, заменяемых 0/72
n7_c08_ord4_72.txt 2026-09-02T15:48:51Z n=7: точек 72, проверено троек 59640, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/72
n7_c09_ord4_72.txt 2026-09-02T15:48:51Z n=7: точек 72, проверено троек 59640, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/72
n7_c13_ord4_70.txt 2026-09-02T15:48:51Z n=7: точек 70, проверено троек 54740, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/70
n7_c14_ord4_72.txt 2026-09-02T15:48:51Z n=7: точек 72, проверено троек 59640, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/72
n7_c15_ord4_72.txt 2026-09-02T15:48:51Z n=7: точек 72, проверено троек 59640, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/72
n7_c16_ord6_72.txt 2026-09-02T15:48:51Z n=7: точек 72, проверено троек 59640, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/72
n7_c17_ord6_72.txt 2026-09-02T15:48:51Z n=7: точек 72, проверено троек 59640, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/72
n7_c18_ord6_73.txt 2026-09-02T15:48:51Z n=7: точек 73, проверено троек 62196, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/73
n7_c19_ord8_64.txt 2026-09-02T15:48:51Z n=7: точек 64, проверено троек 41664, коллинеарных 0  — свидетель ЧИСТ | min κ=1, заменяемых 24/64
n7_c20_ord8_64.txt 2026-09-02T15:48:52Z n=7: точек 64, проверено троек 41664, коллинеарных 0  — свидетель ЧИСТ | min κ=1, заменяемых 8/64
n7_c21_ord8_68.txt 2026-09-02T15:48:52Z n=7: точек 68, проверено троек 50116, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/68
n7_c22_ord8_68.txt 2026-09-02T15:48:52Z n=7: точек 68, проверено троек 50116, коллинеарных 0  — свидетель ЧИСТ | min κ=2, заменяемых 0/68
n7_c23_ord8_68.txt 2026-09-02T15:48:52Z n=7: точек 68, проверено троек 50116, коллинеарных 0  — свидетель ЧИСТ | min κ=1, заменяемых 8/68
