orbit_cover.py output — T2.21 task A ((7,5,3,1) orbit-cover lemma), k=-1
primes checked: 11 <= p <= 500, all primes, count=91; total runtime 5.3s
columns: p, n_pts=|P|, m8=#(8,4,4)-groups, m7=#(7,5,3,1)-groups, m6groups=#(6,6,2,2)-groups,
         orbits=#distinct {d,-d} orbits checked (=m7/2 unless a pairing issue), LP28=#orbits with LP(Omega)=28,
         exceptions=#orbits (or pairings) failing any check
    p   n_pts   m8   m7  m6grp  orbits  LP28  exc
   11      80    2    0      0       0     0    0
   13      96    0    0      1       0     0    0
   17     128    0    0      1       0     0    0
   19     144    2    0      2       0     0    0
   23     176    2    2      0       1     1    0
   29     224    4    2      3       1     1    0
   31     240    2    2      2       1     1    0
   37     288    4    2      3       1     1    0
   41     320    2    0      3       0     0    0
   43     336    6    4      0       2     2    0
   47     368    6    2      2       1     1    0
   53     416    4    2      3       1     1    0
   59     464    4    4      6       2     2    0
   61     480    2    8      7       4     4    0
   67     528    6    6      4       3     3    0
   71     560    8    4      4       2     2    0
   73     576    4    8      5       4     4    0
   79     624    8    2      8       1     1    0
   83     656    6   10      4       5     5    0
   89     704   10    2      5       1     1    0
   97     768    6    4      7       2     2    0
  101     800    8    8      9       4     4    0
  103     816    6   10      8       5     5    0
  107     848   10   14      2       7     7    0
  109     864    8    4     13       2     2    0
  113     896    8   10     11       5     5    0
  127    1008    8   16      6       8     8    0
  131    1040   10    8     14       4     4    0
  137    1088   12   12     13       6     6    0
  139    1104   10   10     14       5     5    0
  149    1184   12    6     15       3     3    0
  151    1200   16   10     10       5     5    0
  157    1248   12    6     15       3     3    0
  163    1296   14   10     16       5     5    0
  167    1328   16   12     12       6     6    0
  173    1376   14   20     15      10    10    0
  179    1424   12   12     20       6     6    0
  181    1440   12   16     21       8     8    0
  191    1520   20    8     18       4     4    0
  193    1536   16   12     21       6     6    0
  197    1568   18   12     19       6     6    0
  199    1584   16   10     22       5     5    0
  211    1680   14   20     18      10    10    0
  223    1776   24   10     20       5     5    0
  227    1808   14   18     24       9     9    0
  229    1824   22    6     21       3     3    0
  233    1856   16   20     13      10    10    0
  239    1904   22   16     20       8     8    0
  241    1920   14   26     25      13    13    0
  251    2000   20   18     24       9     9    0
  257    2048   26   18     17       9     9    0
  263    2096   26   20     18      10    10    0
  269    2144   20   28     25      14    14    0
  271    2160   28   18     20       9     9    0
  277    2208   26   28     19      14    14    0
  281    2240   20   20     25      10    10    0
  283    2256   20   34     16      17    17    0
  293    2336   24   26     31      13    13    0
  307    2448   18   36     22      18    18    0
  311    2480   22   18     36       9     9    0
  313    2496   20   26     23      13    13    0
  317    2528   26   24     23      12    12    0
  331    2640   34   14     34       7     7    0
  337    2688   22   24     31      12    12    0
  347    2768   24   34     28      17    17    0
  349    2784   26   28     35      14    14    0
  353    2816   30   20     27      10    10    0
  359    2864   38   18     32       9     9    0
  367    2928   28   40     22      20    20    0
  373    2976   32   34     23      17    17    0
  379    3024   36   28     30      14    14    0
  383    3056   36   30     28      15    15    0
  389    3104   34   38     33      19    19    0
  397    3168   36   24     29      12    12    0
  401    3200   32   30     35      15    15    0
  409    3264   24   38     39      19    19    0
  419    3344   40   30     34      15    15    0
  421    3360   30   34     33      17    17    0
  431    3440   30   42     34      21    21    0
  433    3456   34   26     37      13    13    0
  439    3504   34   30     44      15    15    0
  443    3536   34   42     34      21    21    0
  449    3584   38   38     37      19    19    0
  457    3648   34   34     33      17    17    0
  461    3680   32   36     37      18    18    0
  463    3696   34   42     38      21    21    0
  467    3728   38   40     38      20    20    0
  479    3824   38   40     40      20    20    0
  487    3888   34   46     40      23    23    0
  491    3920   32   40     50      20    20    0
  499    3984   40   34     50      17    17    0

TOTALS: primes=91, orbits_checked=837, LP=28 count=837, exceptions=0, primes with >=1 exception=0

EXCEPTIONS: none.
