 p  #8-line groups  B(sym,disjoint)  bound=4(p-1)-2B   /(p-1)
 17     0     0       64  4.000
 19     4     4       64  3.556
 23     4     4       80  3.636
 29     8     8       96  3.429
 31     4     4      112  3.733
 37     8     8      128  3.556
 41     4     4      152  3.800
 43    12    12      144  3.429
 47    12    12      160  3.478
 53     8     8      192  3.692
 59     8     8      216  3.724
 61     4     4      232  3.867
 67    12    12      240  3.636
 71    16    16      248  3.543
 73     8     8      272  3.778
 79    16    16      280  3.590
 83    12    12      304  3.707
 89    20    20      312  3.545
 97    12    12      360  3.750
101    16    16      368  3.680
103    12    12      384  3.765
107    20    20      384  3.623
109    16    16      400  3.704
113    16    16      416  3.714
