p k ord | K M | K->M transitions | walk range | range/sqrt(p) | (s,s) (s,n) (n,s) (n,n) per L
11 2 10 | 0 0 | 0 | 0 | 0.00 | 0.000 0.000 0.000 1.000
13 2 12 | 0 0 | 0 | 0 | 0.00 | 0.000 0.000 0.000 1.000
17 3 16 | 4 4 | 2 | 2 | 0.49 | 0.000 0.250 0.250 0.500
19 2 18 | 4 4 | 2 | 2 | 0.46 | 0.000 0.222 0.222 0.556
23 5 22 | 12 12 | 6 | 2 | 0.42 | 0.273 0.273 0.273 0.182
29 2 28 | 8 8 | 4 | 2 | 0.37 | 0.143 0.143 0.143 0.571
31 3 30 | 4 4 | 2 | 2 | 0.36 | 0.000 0.133 0.133 0.733
37 2 36 | 8 8 | 4 | 2 | 0.33 | 0.056 0.167 0.167 0.611
41 6 40 | 16 16 | 8 | 4 | 0.62 | 0.100 0.300 0.300 0.300
43 3 42 | 16 16 | 10 | 4 | 0.61 | 0.095 0.286 0.286 0.333
47 5 46 | 16 16 | 12 | 2 | 0.29 | 0.130 0.217 0.217 0.435
53 2 52 | 8 8 | 2 | 4 | 0.55 | 0.000 0.154 0.154 0.692
59 2 58 | 20 20 | 14 | 4 | 0.52 | 0.103 0.241 0.241 0.414
61 2 60 | 28 28 | 18 | 6 | 0.77 | 0.167 0.300 0.300 0.233
67 2 66 | 20 20 | 14 | 4 | 0.49 | 0.121 0.182 0.182 0.515
71 7 70 | 24 24 | 18 | 4 | 0.47 | 0.143 0.200 0.200 0.457
73 5 72 | 20 20 | 12 | 4 | 0.47 | 0.083 0.194 0.194 0.528
79 3 78 | 36 36 | 22 | 4 | 0.45 | 0.231 0.231 0.231 0.308
83 2 82 | 28 28 | 20 | 2 | 0.22 | 0.122 0.220 0.220 0.439
89 3 88 | 28 28 | 20 | 2 | 0.21 | 0.136 0.182 0.182 0.500
97 5 96 | 28 28 | 14 | 4 | 0.41 | 0.104 0.188 0.188 0.521
101 2 100 | 32 32 | 12 | 10 | 1.00 | 0.060 0.260 0.260 0.420
103 5 102 | 40 40 | 28 | 6 | 0.59 | 0.137 0.255 0.255 0.353
107 2 106 | 32 32 | 12 | 6 | 0.58 | 0.057 0.245 0.245 0.453
109 6 108 | 32 32 | 14 | 8 | 0.77 | 0.037 0.259 0.259 0.444
113 3 112 | 24 24 | 18 | 2 | 0.19 | 0.036 0.179 0.179 0.607
127 3 126 | 52 52 | 34 | 4 | 0.35 | 0.190 0.222 0.222 0.365
131 2 130 | 44 44 | 34 | 4 | 0.35 | 0.123 0.215 0.215 0.446
