p: [delta_p(M) for M=2,4,8,...] (2M<p) | S=sum delta | zero scales | min over j of delta(2^j)+delta(2^{j+1})
  11: 0.00 1.00 | S=1.00 | zeros=1 | min pair=1.00
  13: 0.00 0.33 | S=0.33 | zeros=1 | min pair=0.33
  17: 1.00 0.33 0.67 | S=2.00 | zeros=0 | min pair=1.00
  19: 0.00 1.00 0.17 | S=1.17 | zeros=1 | min pair=1.00
  23: 1.00 0.33 0.67 | S=2.00 | zeros=0 | min pair=1.00
  29: 0.00 1.00 0.50 | S=1.50 | zeros=1 | min pair=1.00
  31: 1.00 1.00 0.67 | S=2.67 | zeros=0 | min pair=1.67
  37: 0.00 0.33 0.50 0.46 | S=1.29 | zeros=1 | min pair=0.33
  41: 1.00 1.00 0.67 0.54 | S=3.21 | zeros=0 | min pair=1.21
  43: 0.00 0.33 0.83 0.46 | S=1.63 | zeros=1 | min pair=0.33
  47: 1.00 0.33 0.33 0.54 | S=2.21 | zeros=0 | min pair=0.67
  53: 0.00 0.33 0.83 0.62 | S=1.78 | zeros=1 | min pair=0.33
  59: 0.00 1.00 0.17 0.92 | S=2.09 | zeros=1 | min pair=1.00
  61: 0.00 1.00 0.50 0.46 | S=1.96 | zeros=1 | min pair=0.96
  67: 0.00 0.33 0.50 0.77 0.25 | S=1.85 | zeros=1 | min pair=0.33
  71: 1.00 1.00 0.67 0.69 0.58 | S=3.94 | zeros=0 | min pair=1.28
  73: 1.00 0.33 0.33 0.38 0.50 | S=2.55 | zeros=0 | min pair=0.67
  79: 1.00 1.00 1.00 0.69 0.50 | S=4.19 | zeros=0 | min pair=1.19
  83: 0.00 0.33 0.50 0.77 0.42 | S=2.02 | zeros=1 | min pair=0.33
  89: 1.00 1.00 0.67 0.69 0.58 | S=3.94 | zeros=0 | min pair=1.28
  97: 1.00 0.33 0.33 0.38 0.42 | S=2.47 | zeros=0 | min pair=0.67
 101: 0.00 1.00 0.50 0.62 0.42 | S=2.53 | zeros=1 | min pair=1.00
 103: 1.00 0.33 0.67 0.85 0.67 | S=3.51 | zeros=0 | min pair=1.00
 107: 0.00 0.33 0.83 0.46 0.67 | S=2.29 | zeros=1 | min pair=0.33
 109: 0.00 1.00 0.17 0.77 0.33 | S=2.27 | zeros=1 | min pair=0.94
 113: 1.00 0.33 0.67 0.54 0.58 | S=3.12 | zeros=0 | min pair=1.00
 127: 1.00 0.33 0.67 0.69 0.67 | S=3.36 | zeros=0 | min pair=1.00
 131: 0.00 1.00 0.50 0.46 0.67 0.54 | S=3.17 | zeros=1 | min pair=0.96
 137: 1.00 0.33 0.33 0.54 0.50 0.46 | S=3.17 | zeros=0 | min pair=0.67
 139: 0.00 1.00 0.50 0.62 0.50 0.54 | S=3.15 | zeros=1 | min pair=1.00
 149: 0.00 1.00 0.17 0.92 0.42 0.54 | S=3.04 | zeros=1 | min pair=0.96
 151: 1.00 1.00 0.67 0.85 0.67 0.54 | S=4.72 | zeros=0 | min pair=1.21
 157: 0.00 0.33 0.83 0.46 0.42 0.50 | S=2.54 | zeros=1 | min pair=0.33
 163: 0.00 0.33 0.50 0.46 0.58 0.46 | S=2.34 | zeros=1 | min pair=0.33
 167: 1.00 0.33 0.33 0.54 0.42 0.46 | S=3.08 | zeros=0 | min pair=0.67
 173: 0.00 0.33 0.83 0.46 0.50 0.54 | S=2.67 | zeros=1 | min pair=0.33
 179: 0.00 1.00 0.50 0.77 0.33 0.69 | S=3.29 | zeros=1 | min pair=1.00
 181: 0.00 1.00 0.50 0.62 0.42 0.58 | S=3.11 | zeros=1 | min pair=0.99
 191: 1.00 1.00 1.00 0.85 0.58 0.65 | S=5.08 | zeros=0 | min pair=1.24
 193: 1.00 0.33 0.33 0.38 0.25 0.42 | S=2.72 | zeros=0 | min pair=0.63
 197: 0.00 0.33 0.50 0.62 0.58 0.50 | S=2.53 | zeros=1 | min pair=0.33
 199: 1.00 1.00 1.00 0.85 0.75 0.62 | S=5.21 | zeros=0 | min pair=1.37
 211: 0.00 1.00 0.50 0.46 0.58 0.58 | S=3.12 | zeros=1 | min pair=0.96
 223: 1.00 0.33 0.33 0.69 0.67 0.58 | S=3.60 | zeros=0 | min pair=0.67
 227: 0.00 0.33 0.50 0.62 0.33 0.73 | S=2.51 | zeros=1 | min pair=0.33
 229: 0.00 1.00 0.17 0.77 0.50 0.46 | S=2.90 | zeros=1 | min pair=0.94
 233: 1.00 0.33 0.67 0.69 0.50 0.54 | S=3.73 | zeros=0 | min pair=1.00
 239: 1.00 1.00 0.67 0.85 0.67 0.62 | S=4.79 | zeros=0 | min pair=1.28
 241: 1.00 1.00 0.67 0.69 0.75 0.54 | S=4.65 | zeros=0 | min pair=1.29
 251: 0.00 1.00 0.50 0.62 0.42 0.73 | S=3.26 | zeros=1 | min pair=1.00
 257: 1.00 0.33 0.67 0.85 0.58 0.46 0.57 | S=4.46 | zeros=0 | min pair=1.00
 263: 1.00 0.33 0.67 0.69 0.58 0.42 0.55 | S=4.25 | zeros=0 | min pair=0.97
 269: 0.00 1.00 0.50 0.46 0.75 0.46 0.51 | S=3.68 | zeros=1 | min pair=0.96
 271: 1.00 1.00 0.67 0.69 0.83 0.62 0.57 | S=5.38 | zeros=0 | min pair=1.19
 277: 0.00 0.33 0.83 0.46 0.42 0.50 0.45 | S=2.99 | zeros=1 | min pair=0.33
 281: 1.00 1.00 0.67 0.85 0.67 0.58 0.55 | S=5.31 | zeros=0 | min pair=1.13
 283: 0.00 0.33 0.83 0.46 0.50 0.58 0.41 | S=3.11 | zeros=1 | min pair=0.33
 293: 0.00 0.33 0.50 0.62 0.50 0.46 0.57 | S=2.98 | zeros=1 | min pair=0.33
 307: 0.00 0.33 0.50 0.62 0.50 0.54 0.45 | S=2.94 | zeros=1 | min pair=0.33
 311: 1.00 1.00 1.00 0.69 0.58 0.65 0.55 | S=5.48 | zeros=0 | min pair=1.20
 313: 1.00 0.33 0.67 0.69 0.42 0.42 0.49 | S=4.02 | zeros=0 | min pair=0.84
 317: 0.00 0.33 0.50 0.46 0.58 0.54 0.53 | S=2.95 | zeros=1 | min pair=0.33
 331: 0.00 1.00 0.17 0.77 0.33 0.62 0.45 | S=3.33 | zeros=1 | min pair=0.94
 337: 1.00 0.33 0.67 0.54 0.50 0.42 0.49 | S=3.95 | zeros=0 | min pair=0.91
 347: 0.00 0.33 0.83 0.46 0.50 0.54 0.55 | S=3.22 | zeros=1 | min pair=0.33
 349: 0.00 1.00 0.17 0.92 0.33 0.58 0.53 | S=3.53 | zeros=1 | min pair=0.91
 353: 1.00 0.33 0.33 0.69 0.58 0.54 0.49 | S=3.97 | zeros=0 | min pair=0.67
 359: 1.00 1.00 0.67 0.69 0.67 0.58 0.63 | S=5.24 | zeros=0 | min pair=1.21
 367: 1.00 0.33 0.67 0.54 0.67 0.62 0.53 | S=4.35 | zeros=0 | min pair=1.00
 373: 0.00 0.33 0.83 0.62 0.42 0.50 0.45 | S=3.15 | zeros=1 | min pair=0.33
 379: 0.00 1.00 0.17 0.62 0.58 0.38 0.63 | S=3.38 | zeros=1 | min pair=0.78
 383: 1.00 0.33 0.33 0.69 0.42 0.42 0.49 | S=3.69 | zeros=0 | min pair=0.67
 389: 0.00 1.00 0.50 0.62 0.42 0.69 0.45 | S=3.67 | zeros=1 | min pair=1.00
 397: 0.00 0.33 0.50 0.62 0.33 0.58 0.43 | S=2.79 | zeros=1 | min pair=0.33
