p: m5 m6 m7 m8 | m8/p m7/p m6/p m5/p | savings/(p-1) | 4-class groups by m (m=#centres at the smaller value): 4:(4,8,4) 3:(3,7,5,1) 2:(2,6,6,2) 1:(1,5,7,3) 0
  11:   0   0   0   2 | 0.182 0.000 0.000 0.000 | 0.400 | 4:  2 3:  0 2:  0 1:  0 0:  0 | N4=2 N3=0 N2=5 N4/p=0.182
  13:   0   2   0   0 | 0.000 0.000 0.154 0.000 | 0.167 | 4:  0 3:  0 2:  1 1:  0 0:  0 | N4=1 N3=0 N2=8 N4/p=0.077
  17:   2   4   0   0 | 0.000 0.000 0.235 0.118 | 0.312 | 4:  0 3:  0 2:  1 1:  0 0:  0 | N4=1 N3=4 N2=8 N4/p=0.059
  19:   0   4   0   2 | 0.105 0.000 0.211 0.000 | 0.444 | 4:  2 3:  0 2:  2 1:  0 0:  0 | N4=4 N3=0 N2=9 N4/p=0.211
  23:   4   0   2   2 | 0.087 0.087 0.000 0.174 | 0.409 | 4:  2 3:  1 2:  0 1:  1 0:  0 | N4=4 N3=2 N2=11 N4/p=0.174
  29:   2   6   2   4 | 0.138 0.069 0.207 0.069 | 0.643 | 4:  4 3:  1 2:  3 1:  1 0:  0 | N4=9 N3=0 N2=8 N4/p=0.310
  31:   4   4   2   2 | 0.065 0.065 0.129 0.129 | 0.433 | 4:  2 3:  1 2:  2 1:  1 0:  0 | N4=6 N3=2 N2=15 N4/p=0.194
  37:   2   6   2   4 | 0.108 0.054 0.162 0.054 | 0.500 | 4:  4 3:  1 2:  3 1:  1 0:  0 | N4=9 N3=0 N2=16 N4/p=0.243
  41:   4   6   0   2 | 0.049 0.000 0.146 0.098 | 0.300 | 4:  2 3:  0 2:  3 1:  0 0:  0 | N4=5 N3=4 N2=24 N4/p=0.122
  43:   4   0   4   6 | 0.140 0.093 0.000 0.093 | 0.476 | 4:  6 3:  2 2:  0 1:  2 0:  0 | N4=10 N3=0 N2=21 N4/p=0.233
  47:   4   4   2   6 | 0.128 0.043 0.085 0.085 | 0.457 | 4:  6 3:  1 2:  2 1:  1 0:  0 | N4=10 N3=2 N2=23 N4/p=0.213
  53:   2   6   2   4 | 0.075 0.038 0.113 0.038 | 0.346 | 4:  4 3:  1 2:  3 1:  1 0:  0 | N4=9 N3=0 N2=32 N4/p=0.170
