n=7: |G|=2, орбит клеток 172 (из 343), богатых прямых 4429
  [    0s] 0 точек, коллинеарных 0 -> записано
  [    0s] 60 точек, коллинеарных 0 -> записано
  [    1s] 62 точек, коллинеарных 0 -> записано
  [    1s] 64 точек, коллинеарных 0 -> записано
  [    2s] 66 точек, коллинеарных 0 -> записано
  [    3s] 68 точек, коллинеарных 0 -> записано
  [   40s] 70 точек, коллинеарных 0 -> записано
  [   47s] 72 точек, коллинеарных 0 -> записано
  [    2s] 68 точек, коллинеарных 0 -> записано
  [   28s] 70 точек, коллинеарных 0 -> записано
  [  118s] 72 точек, коллинеарных 0 -> записано
