n=7: |G|=3, орбит клеток 119 (из 343), богатых прямых 4429
  [    0s] 0 точек, коллинеарных 0 -> записано
  [    0s] 56 точек, коллинеарных 0 -> записано
  [    0s] 57 точек, коллинеарных 0 -> записано
  [    1s] 59 точек, коллинеарных 0 -> записано
  [    1s] 61 точек, коллинеарных 0 -> записано
  [    1s] 62 точек, коллинеарных 0 -> записано
  [    1s] 65 точек, коллинеарных 0 -> записано
  [    1s] 66 точек, коллинеарных 0 -> записано
  [    2s] 67 точек, коллинеарных 0 -> записано
  [    2s] 68 точек, коллинеарных 0 -> записано
  [    8s] 69 точек, коллинеарных 0 -> записано
  [   10s] 72 точек, коллинеарных 0 -> записано
  [   32s] 73 точек, коллинеарных 0 -> записано
