  p=5003: signatures=42 bad=0
  p=5179: signatures=147 bad=0
  p=5387: signatures=184 bad=0
  p=5521: signatures=198 bad=0
  p=5693: signatures=206 bad=0
  p=5857: signatures=214 bad=0
  p=6053: signatures=220 bad=0
  p=6221: signatures=226 bad=0
  p=6367: signatures=231 bad=0
  p=6571: signatures=233 bad=0
  p=6761: signatures=237 bad=0
  p=6917: signatures=242 bad=0
  p=7103: signatures=243 bad=0
  p=7297: signatures=246 bad=0
  p=7499: signatures=248 bad=0
  p=7643: signatures=250 bad=0
  p=7829: signatures=253 bad=0
  p=8017: signatures=254 bad=0
  p=8219: signatures=254 bad=0
  p=8387: signatures=255 bad=0
  p=8597: signatures=256 bad=0
  p=8741: signatures=258 bad=0
  p=8929: signatures=259 bad=0
  p=9109: signatures=259 bad=0
  p=9283: signatures=259 bad=0
  p=9439: signatures=259 bad=0
  p=9631: signatures=259 bad=0
  p=9811: signatures=260 bad=0
  p=10007: signatures=260 bad=0
  p=10177: signatures=260 bad=0
  p=10343: signatures=260 bad=0
  p=10567: signatures=260 bad=0
  p=10739: signatures=261 bad=0
  p=10949: signatures=261 bad=0
  p=11149: signatures=261 bad=0
  p=11329: signatures=261 bad=0
  p=11527: signatures=261 bad=0
  p=11777: signatures=261 bad=0
  p=11933: signatures=261 bad=0
  p=12109: signatures=261 bad=0
  p=12289: signatures=262 bad=0
  p=12487: signatures=264 bad=0
  p=12641: signatures=264 bad=0
  p=12829: signatures=264 bad=0
  p=13007: signatures=264 bad=0
  p=13187: signatures=264 bad=0
  p=13411: signatures=264 bad=0
  p=13619: signatures=264 bad=0
  p=13781: signatures=265 bad=0
  p=13967: signatures=265 bad=0

TOTAL signatures=265  bad=0
  ab         sav=  0.00 count=579265
  a6a        sav=  6.00 count=95816
  a7b        sav=  4.00 count=96741
  b8b        sav=  8.00 count=96789
  a67a       sav=  9.00 count=36114
  a68b       sav=  8.00 count=60434
  a77b       sav=  7.00 count=12102
  b78b       sav=  8.00 count=36134
  a677a      sav= 12.00 count=4796
  a678b      sav= 14.00 count=13283
  a686a      sav= 14.00 count=9756
  a687b      sav= 11.00 count=10920
  a767a      sav= 12.00 count=3652
  a768b      sav= 12.00 count=10769
  a777b      sav= 10.00 count=1196
  b778b      sav= 12.00 count=4753
  b787b      sav=  8.00 count=3487
  b868b      sav= 16.00 count=9693
  a6777a     sav= 16.00 count=503
  a6778b     sav= 17.00 count=1871
  a6786a     sav= 16.00 count=4043
  a6787b     sav= 14.00 count=2675
  a6867a     sav= 17.00 count=3509
  a6868b     sav= 16.00 count=6194
  a6877b     sav= 15.00 count=1387
  a7677a     sav= 16.00 count=1058
  a7678b     sav= 17.00 count=2631
  a7687b     sav= 14.00 count=1961
  a7768b     sav= 15.00 count=1377
  a7777b     sav= 14.00 count=86
  b7778b     sav= 15.00 count=538
  b7787b     sav= 12.00 count=989
  b7868b     sav= 16.00 count=3452
  b8678b     sav= 16.00 count=3961
  a67777a    sav= 20.00 count=44
  a67778b    sav= 20.00 count=205
  a67786a    sav= 20.00 count=519
  a67787b    sav= 18.00 count=381
  a67867a    sav= 20.00 count=691
  a67868b    sav= 22.00 count=1314
  a67876a    sav= 20.00 count=484
  a67877b    sav= 18.00 count=359
  a68677a    sav= 20.00 count=479
  a68678b    sav= 22.00 count=1287
  a68686a    sav= 22.00 count=978
  a68687b    sav= 19.00 count=1095
  a68767a    sav= 20.00 count=802
  a68768b    sav= 19.00 count=1226
  a68777b    sav= 18.00 count=158
  a76777a    sav= 20.00 count=126
  a76778b    sav= 20.00 count=423
  a76787b    sav= 18.00 count=547
  a76867a    sav= 20.00 count=320
  a76868b    sav= 20.00 count=1092
  a76877b    sav= 18.00 count=261
  a77677a    sav= 20.00 count=75
  a77678b    sav= 20.00 count=318
  a77687b    sav= 18.00 count=235
  a77768b    sav= 18.00 count=148
  a77777b    sav= 18.00 count=7
  b77778b    sav= 18.00 count=36
  b77787b    sav= 16.00 count=101
  b77868b    sav= 20.00 count=436
  b77877b    sav= 16.00 count=82
  b78678b    sav= 19.00 count=670
  b78687b    sav= 16.00 count=311
  b78768b    sav= 16.00 count=797
  b86778b    sav= 20.00 count=574
  b86868b    sav= 24.00 count=961
  b87678b    sav= 22.00 count=461
  a677777a   sav= 24.00 count=1
  a677778b   sav= 24.00 count=23
  a677786a   sav= 24.00 count=50
  a677787b   sav= 22.00 count=43
  a677867a   sav= 24.00 count=104
  a677868b   sav= 25.00 count=180
  a677876a   sav= 24.00 count=153
  a677877b   sav= 22.00 count=52
  a678677a   sav= 24.00 count=80
