New 2n-point no-three-in-line configurations with stabiliser EXACTLY the half-turn
(from 'Balanced orbit defects...', doi:10.5281/zenodo.22063287; added to Flammenkamp's
database Aug 2026).  Format: 'n= N' then one line per row as 'row: col1 col2'.
Each was re-verified at file-generation time: 2 points per row and column, zero
collinear triples among C(2n,3), and the stabiliser inside the dihedral group is
exactly {identity, half-turn}.

n= 36  (configuration 1 in file order)
0: 3 23
1: 14 17
2: 15 28
3: 31 35
4: 3 15
5: 25 30
6: 6 14
7: 2 11
8: 23 26
9: 8 18
10: 5 16
11: 13 28
12: 0 8
13: 19 24
14: 29 34
15: 31 33
16: 13 25
17: 9 34
18: 1 26
19: 10 22
20: 2 4
21: 1 6
22: 11 16
23: 27 35
24: 7 22
25: 19 30
26: 17 27
27: 9 12
28: 24 33
29: 21 29
30: 5 10
31: 20 32
32: 0 4
33: 7 20
34: 18 21
35: 12 32

n= 36  (configuration 2 in file order)
0: 19 20
1: 1 19
2: 9 24
3: 12 20
4: 6 10
5: 24 27
6: 27 31
7: 14 17
8: 5 6
9: 26 33
10: 21 31
11: 2 5
12: 22 32
13: 12 18
14: 10 28
15: 0 3
16: 0 1
17: 13 28
18: 7 22
19: 34 35
20: 32 35
21: 7 25
22: 17 23
23: 3 13
24: 30 33
25: 4 14
26: 2 9
27: 29 30
28: 18 21
29: 4 8
30: 8 11
31: 25 29
32: 15 23
33: 11 26
34: 16 34
35: 15 16

n= 36  (configuration 3 in file order)
0: 13 20
1: 1 16
2: 16 23
3: 21 27
4: 11 20
5: 7 27
6: 23 25
7: 28 30
8: 3 5
9: 10 17
10: 6 26
11: 18 31
12: 2 6
13: 21 35
14: 3 13
15: 0 4
16: 33 34
17: 11 26
18: 9 24
19: 1 2
20: 31 35
21: 22 32
22: 0 14
23: 29 33
24: 4 17
25: 9 29
26: 18 25
27: 30 32
28: 5 7
29: 10 12
30: 8 28
31: 15 24
32: 8 14
33: 12 19
34: 19 34
35: 15 22

n= 37  (configuration 4 in file order)
0: 16 19
1: 3 9
2: 14 25
3: 7 31
4: 14 23
5: 13 35
6: 19 27
7: 28 33
8: 7 25
9: 6 35
10: 12 15
11: 2 8
12: 18 26
13: 4 31
14: 32 34
15: 20 26
16: 15 36
17: 0 6
18: 12 24
19: 30 36
20: 0 21
21: 10 16
22: 2 4
23: 5 32
24: 10 18
25: 28 34
26: 21 24
27: 1 30
28: 11 29
29: 3 8
30: 9 17
31: 1 23
32: 13 22
33: 5 29
34: 11 22
35: 27 33
36: 17 20

n= 37  (configuration 5 in file order)
0: 15 19
1: 7 14
2: 4 25
3: 11 16
4: 20 24
5: 6 30
6: 5 31
7: 13 35
8: 13 17
9: 9 27
10: 12 15
11: 2 33
12: 4 26
13: 28 29
14: 18 35
15: 26 36
16: 2 33
17: 0 28
18: 14 22
19: 8 36
20: 3 34
21: 0 10
22: 1 18
23: 7 8
24: 10 32
25: 3 34
26: 21 24
27: 9 27
28: 19 23
29: 1 23
30: 5 31
31: 6 30
32: 12 16
33: 20 25
34: 11 32
35: 22 29
36: 17 21

n= 39  (configuration 6 in file order)
0: 12 16
1: 10 32
2: 21 30
3: 7 22
4: 8 12
5: 10 23
6: 1 15
7: 25 35
8: 2 20
9: 9 29
10: 33 37
11: 24 25
12: 34 38
13: 7 11
14: 11 21
15: 5 32
16: 3 38
17: 2 14
18: 4 19
19: 18 20
20: 19 34
21: 24 36
22: 0 35
23: 6 33
24: 17 27
25: 27 31
26: 0 4
27: 13 14
28: 1 5
29: 9 29
30: 18 36
31: 3 13
32: 23 37
33: 15 28
34: 26 30
35: 16 31
36: 8 17
37: 6 28
38: 22 26

n= 39  (configuration 7 in file order)
0: 11 18
1: 5 17
2: 12 32
3: 14 26
4: 28 29
5: 8 19
6: 2 22
7: 28 30
8: 7 33
9: 4 22
10: 4 7
11: 13 38
12: 3 36
13: 20 27
14: 23 35
15: 14 17
16: 6 9
17: 23 37
18: 13 38
19: 1 37
20: 0 25
21: 1 15
22: 29 32
23: 21 24
24: 3 15
25: 11 18
26: 2 35
27: 0 25
28: 31 34
29: 16 34
30: 5 31
31: 8 10
32: 16 36
33: 19 30
34: 9 10
35: 12 24
36: 6 26
37: 21 33
38: 20 27

n= 39  (configuration 8 in file order)
0: 10 14
1: 18 30
2: 17 27
3: 9 25
4: 6 7
5: 8 16
6: 27 34
7: 19 25
8: 1 33
9: 17 35
10: 23 38
11: 2 6
12: 12 26
13: 3 7
14: 23 38
15: 10 14
16: 18 33
17: 29 36
18: 22 37
19: 4 34
20: 1 16
21: 2 9
22: 5 20
23: 24 28
24: 0 15
25: 31 35
26: 12 26
27: 32 36
28: 0 15
29: 3 21
30: 5 37
31: 13 19
32: 4 11
33: 22 30
34: 31 32
35: 13 29
36: 11 21
37: 8 20
38: 24 28

n= 39  (configuration 9 in file order)
0: 13 17
1: 3 12
2: 4 28
3: 21 24
4: 31 36
5: 6 15
6: 26 33
7: 4 22
8: 20 22
9: 10 13
10: 2 29
11: 15 18
12: 6 37
13: 29 38
14: 19 37
15: 27 33
16: 7 8
17: 3 38
18: 8 27
19: 14 24
20: 11 30
21: 0 35
22: 30 31
23: 5 11
24: 1 19
25: 0 9
26: 1 32
27: 20 23
28: 9 36
29: 25 28
30: 16 18
31: 16 34
32: 5 12
33: 23 32
34: 2 7
35: 14 17
36: 10 34
37: 26 35
38: 21 25

n= 33  (configuration 10 in file order)
0: 22 24
1: 10 12
2: 3 17
3: 9 19
4: 6 16
5: 19 24
6: 11 28
7: 9 11
8: 0 5
9: 25 29
10: 0 31
11: 25 26
12: 17 31
13: 5 30
14: 14 18
15: 2 12
16: 4 28
17: 20 30
18: 14 18
19: 2 27
20: 1 15
21: 6 7
22: 1 32
23: 3 7
24: 27 32
25: 21 23
26: 4 21
27: 8 13
28: 16 26
29: 13 23
30: 15 29
31: 20 22
32: 8 10
